,Timestamp,key
0,2021-09-20 11:19:41.492765,Key.backspace
1,2021-09-20 11:19:41.935403,Key.enter
2,2021-09-20 11:19:42.915777,Key.enter
3,2021-09-20 11:19:48.801453,Key.right
4,2021-09-20 11:19:49.709764,Key.down
5,2021-09-20 11:19:50.008440,Key.down
6,2021-09-20 11:19:50.253748,Key.enter
7,2021-09-20 11:19:50.743747,Key.enter
8,2021-09-20 11:19:51.461942,Key.caps_lock
9,2021-09-20 11:19:51.734759,'p'
10,2021-09-20 11:19:51.778759,Key.caps_lock
11,2021-09-20 11:19:51.965760,'r'
12,2021-09-20 11:19:52.081955,'o'
13,2021-09-20 11:19:52.309114,'g'
14,2021-09-20 11:19:52.365744,'r'
15,2021-09-20 11:19:52.452802,'a'
16,2021-09-20 11:19:52.567952,'m'
17,2021-09-20 11:19:53.014758,Key.space
18,2021-09-20 11:19:53.172742,'w'
19,2021-09-20 11:19:53.230755,'i'
20,2021-09-20 11:19:53.443756,'l'
21,2021-09-20 11:19:53.601756,'l'
22,2021-09-20 11:19:53.803757,Key.space
23,2021-09-20 11:19:54.737739,'s'
24,2021-09-20 11:19:54.895739,'t'
25,2021-09-20 11:19:54.967738,'a'
26,2021-09-20 11:19:55.054383,'r'
27,2021-09-20 11:19:55.198567,'t'
28,2021-09-20 11:19:55.400236,Key.space
29,2021-09-20 11:19:56.863735,'t'
30,2021-09-20 11:19:56.921735,'r'
31,2021-09-20 11:19:57.036735,'a'
32,2021-09-20 11:19:57.194734,'c'
33,2021-09-20 11:19:57.324371,'k'
34,2021-09-20 11:19:57.468734,'i'
35,2021-09-20 11:19:57.569622,'n'
36,2021-09-20 11:19:57.627733,'g'
37,2021-09-20 11:19:58.142733,Key.enter
38,2021-09-20 11:19:59.249749,Key.caps_lock
39,2021-09-20 11:20:01.133367,'t'
40,2021-09-20 11:20:01.306726,Key.caps_lock
41,2021-09-20 11:20:01.461725,'o'
42,2021-09-20 11:20:01.648725,Key.space
43,2021-09-20 11:20:01.706211,'s'
44,2021-09-20 11:20:02.413738,'t'
45,2021-09-20 11:20:02.567922,'o'
46,2021-09-20 11:20:02.640910,'p'
47,2021-09-20 11:20:02.899723,Key.space
48,2021-09-20 11:20:03.746722,'p'
49,2021-09-20 11:20:03.890736,'r'
50,2021-09-20 11:20:03.962933,'e'
51,2021-09-20 11:20:04.193362,'s'
52,2021-09-20 11:20:04.366735,'s'
53,2021-09-20 11:20:04.625372,Key.space
54,2021-09-20 11:20:04.798719,'f'
55,2021-09-20 11:20:05.125360,'1'
56,2021-09-20 11:20:05.241218,'2'
57,2021-09-20 11:20:06.160390,Key.enter
58,2021-09-20 11:20:10.098709,Key.f12
